pl_name,pl_rade,pl_bmasse,pl_eqt,pl_orbsmax,pl_orbeccen,st_teff,sy_snum,P_ESI
11 Com b,12.2,4914.89848585,1437.38,1.178,0.238,4874.0,2.0,0.087643878
11 UMi b,12.3,4684.8142,607.766,1.5300000000000002,0.08,4213.0,1.0,0.081365972
14 And b,13.1,1131.15130051,909.7660000000001,0.7750000000000012,0.0,4888.0,1.0,0.077422028
14 Her b,12.5,2828.6728223,830.966,2.839,0.3683,5338.0,1.0,0.16301977
16 Cyg B b,13.5,565.7374,606.0,1.6600000000000001,0.6800000000000002,5750.0,3.0,0.3680929
17 Sco b,12.9,1373.01871824,910.96,1.4500000000000002,0.06,4157.0,1.0,0.08151397
18 Del b,12.5,2926.24614325,1765.1999999999998,2.476,0.024,4980.0,2.0,0.19709795
1RXS J160929.1-210524 b,18.647,3000.0,1700.0,330.0,0.2166,4060.0,1.0,0.049538687
24 Boo b,13.899999999999999,280.64248338,981.982,0.19399999999999995,0.032,4816.0,1.0,0.065236534
24 Sex b,13.4,632.46,1382.78,1.3330000000000002,0.09,5098.0,1.0,0.17671788
24 Sex c,13.899999999999999,273.32,1021.98,2.08,0.29,5098.0,1.0,0.271731
2M0437 b,13.0,1271.313628,1450.0,118.0,0.1422,3100.0,1.0,0.068690673
2MASS J01225093-2439505 b,11.209,7786.5,1600.0,52.0,0.1242,3530.0,1.0,0.078268075
2MASS J02192210-3925225 b,16.14096,4417.837,1142.246,156.0,0.23,3064.0,1.0,0.056534469
2MASS J04414489+2301513 b,12.6,2383.6,997.2,15.0,0.23039999999999997,2936.0,1.0,0.070633378
2MASS J12073346-3932539 b,15.692572979999998,1652.7077164,1163.0,46.0,0.17819999999999997,2825.0,1.0,0.069159148
2MASS J19383260+4603591 b,13.4,603.877,2341.2,0.9199999999999999,0.33,29564.0,2.0,0.096041501
2MASS J22362452+4751425 b,12.3,3972.875,1022.246,230.0,0.41780000000000006,4045.0,1.0,0.072138539
4 UMa b,12.6,2511.48007211,547.366,0.8769999999999998,0.453,4415.0,1.0,0.076958767
47 UMa b,13.2,804.08,1415.0,2.0999999999999996,0.032,5872.0,1.0,0.30655665
47 UMa c,14.2,171.621,1131.046,3.6,0.098,5872.0,1.0,0.17364662
47 UMa d,13.5,521.22,1375.6,11.6,0.16,5872.0,1.0,0.07892382
51 Eri b,12.899999999999999,3464.3296363,807.0,10.4,0.57,7422.0,3.0,0.11258312
51 Peg b,14.3,146.2018,1543.1999999999998,0.05269999999999975,0.012999999999999998,5758.0,1.0,0.06523781
55 Cnc b,13.899999999999999,263.9785,700.0,0.11800000000000033,0.0029,5198.0,2.0,0.085730217
55 Cnc c,8.51,54.47379999999998,755.13,0.2469999999999999,0.088,5198.0,2.0,0.18618842
55 Cnc d,13.0,1232.493,1500.4,5.6,0.0913,5198.0,2.0,0.08758419
55 Cnc e,1.875,7.990000000000009,1958.0,0.015439999999999898,0.05,5172.0,2.0,0.2613764
55 Cnc f,7.59,44.81200000000001,702.53,0.8019999999999996,0.063,5198.0,2.0,0.45696022
6 Lyn b,13.4,597.83523357,1132.166,2.0280000000000005,0.042,4941.0,1.0,0.28726791
61 Vir b,2.11,5.100000000000023,710.2,0.050201000000000384,0.12,5577.0,1.0,0.25333762
61 Vir c,4.46,18.19999999999999,869.8,0.21750000000000025,0.14,5577.0,1.0,0.22754245
61 Vir d,5.11,22.899999999999977,930.674,0.476,0.35,5577.0,1.0,0.37098364
7 CMa b,13.4,587.9855,1493.366,1.758,0.06,4826.0,1.0,0.26636555
7 CMa c,13.899999999999999,276.5121,1185.5620000000001,2.153,0.08,4826.0,1.0,0.31679824
70 Vir b,12.6,2380.45,612.966,0.48099999999999987,0.39880000000000004,5495.0,1.0,0.14338115
75 Cet b,13.3,787.89662095,1360.2,1.912,0.093,4809.0,2.0,0.13562122
75 Cet c,13.899999999999999,289.85950718,1086.8,3.929,0.023,4809.0,2.0,0.27824696
8 UMi b,13.5,524.41687155,1225.5819999999999,0.46199999999999974,0.062,4847.0,1.0,0.070780823
81 Cet b,13.1,1051.05854195,1095.366,2.104,0.037,4734.0,1.0,0.14231034
91 Aqr b,13.1,1017.0,1066.4,0.7000000000000002,0.026999999999999996,4665.0,3.0,0.078752705
AB Aur b,12.5,2860.455663,1230.0,93.9,0.4000000000000001,9770.0,1.0,0.07889747
AB Pic b,12.3,4290.5,931.1460000000001,260.0,0.2054,5285.0,1.0,0.072146073
AF Lep b,13.0,1147.36054927,1400.0,8.996,0.015,6140.0,1.0,0.097563246
AU Mic b,4.79,8.990000000000009,554.8,0.07000000000000028,0.07,3540.0,1.0,0.22279239
AU Mic c,2.79,14.45999999999998,424.7,0.11899999999999977,0.18,3540.0,1.0,0.32906063
AU Mic d,1.0200000000000005,1.0529999999999973,561.4,0.05014000000000074,0.003049999999999997,3678.0,1.0,0.39679677
BD+03 2562 b,12.7,2034.112,743.486,1.2999999999999998,0.2,4095.0,1.0,0.073659806
BD+14 4559 b,13.8,330.5432,1007.38,0.7800000000000002,0.29,4864.0,1.0,0.38456025
BD+15 2375 b,13.8,337.21763,1136.78,0.5759999999999996,0.0010000000000000009,4649.0,1.0,0.074553831
BD+15 2940 b,13.7,352.78,1088.766,0.5389999999999997,0.26,4796.0,1.0,0.06847007
BD+20 2457 b,12.1,6807.63,875.94,1.4500000000000002,0.15,4137.0,1.0,0.074700228
BD+20 2457 c,12.399999999999999,3963.17,431.34600000000006,2.01,0.18,4137.0,1.0,0.074505711
BD+20 274 b,13.0,1334.886,731.966,1.2999999999999998,0.21,4296.0,1.0,0.08764565
BD+20 594 b,2.57807,22.248100000000022,546.0,0.24099999999999966,0.0,5766.0,1.0,0.30647469
BD+45 564 b,13.599999999999998,432.24663352,1382.78,0.8300000000000001,0.12,5004.0,1.0,0.36203391
BD+48 738 b,13.899999999999999,289.2253,1070.966,1.0,0.2,4414.0,1.0,0.085492126
BD+48 740 b,13.5,540.311,1257.38,1.7000000000000002,0.7599999999999998,4534.0,1.0,0.10978786
BD+49 828 b,13.5,508.5,1030.18,4.2,0.35,4943.0,1.0,0.35861276
BD+55 362 b,14.0,228.83645304,1007.38,0.7800000000000002,0.27,5012.0,1.0,0.38367829
BD+60 1417 b,14.68376472,4767.426105,1303.0,1662.0,0.22440000000000002,4993.0,1.0,0.061591603
BD+63 1405 b,12.399999999999999,3305.4154328,566.886,2.06,0.8800000000000001,5000.0,1.0,0.23063409
BD-06 1339 b,8.736,1523.03372634,701.4,0.04279999999999973,0.0,4324.0,1.0,0.23950512
BD-06 1339 c,8.38,53.0,752.0,0.4349999999999996,0.31,4324.0,1.0,0.40240802
BD-08 2823 b,12.6248,2948.49413174,643.1659999999999,0.05999999999999961,0.15,4816.0,1.0,0.20560321
BD-08 2823 c,12.5,104.0,999.158,0.6799999999999997,0.19,4746.0,1.0,0.35783763
BD-10 3166 b,14.099999999999998,187.5197,1331.2,0.03999999999999915,0.020000000000000004,5393.0,1.0,0.066523104
BD-11 4672 b,14.099999999999998,206.5895,1361.616,2.36,0.05,4550.0,1.0,0.092851813
BD-11 4672 c,4.04,15.370000000000005,979.97,0.2999999999999998,0.4000000000000001,4550.0,1.0,0.52005613
BD-13 2130 b,12.5,3108.3774,755.566,1.6600000000000001,0.21,4545.0,1.0,0.096496005
BD-17 63 b,12.8,1639.99458012,816.566,1.3399999999999999,0.5439,4714.0,1.0,0.19289263
BD-210397 b,14.0,214.0,1112.04,2.63,0.1,4051.0,1.0,0.084660225
BD-210397 c,12.9,1525.5763536,946.1659999999999,5.9,0.43,4051.0,1.0,0.07374133
CD Cet b,1.8200000000000003,3.9499999999999886,464.0,0.018500000000000405,0.17200000000000001,3130.0,1.0,0.40416679
CFBDSIR J145829+101343 b,12.399999999999999,3337.1,370.0,2.6,0.2876,580.5,1.0,0.071622779
CFHTWIR-Oph 98 b,20.8487041,2479.0615746,1800.0,200.0,0.1938,2320.0,1.0,0.044671746
COCONUTS-2 b,12.57647635,2383.7130525,493.0,7506.0,0.28,3552.0,1.0,0.071408901
CT Cha b,24.66,5403.0,2600.0,440.0,0.38138,4403.0,1.0,0.038185579
CoRoT-1 b,16.700000000000003,327.35,1898.0,0.02751999999999999,0.0,5950.0,1.0,0.055210389
CoRoT-10 b,10.87,874.0,600.0,0.10550000000000015,0.53,5075.0,1.0,0.13130296
CoRoT-11 b,16.03,740.51,1657.0,0.04359999999999964,0.0,6440.0,1.0,0.057733305
CoRoT-12 b,16.14,291.438,1442.0,0.040160000000000196,0.07,5675.0,1.0,0.057985974
CoRoT-13 b,9.92,415.704,1700.0,0.051000000000000156,0.0,5945.0,1.0,0.089371693
CoRoT-14 b,12.220000000000002,2415.4,1952.0,0.027000000000000135,0.0,6035.0,1.0,0.073150266
CoRoT-16 b,13.11,170.032,1237.246,0.061799999999999855,0.33,5650.0,1.0,0.078561072
CoRoT-17 b,11.43,772.29,1626.0,0.04610000000000003,0.0,5740.0,1.0,0.078625359
CoRoT-18 b,14.68,1102.82,1550.0,0.029499999999999638,0.08,5440.0,1.0,0.062970643
CoRoT-19 b,14.46,352.78,2000.0,0.05180000000000007,0.047,6090.0,1.0,0.063265151
CoRoT-2 b,16.432,1102.82,1521.0,0.027980000000000338,0.0143,5625.0,2.0,0.056740878
CoRoT-20 b,9.41556,1366.669,1024.0,0.08999999999999986,0.5900000000000001,5880.0,1.0,0.095756334
CoRoT-20 c,12.2,5403.11,927.046,2.9,0.6000000000000001,5880.0,1.0,0.20480289
CoRoT-21 b,14.5717,718.2958,1889.4,0.041699999999999626,0.0,6200.0,1.0,0.062382445
CoRoT-22 b,4.88,12.199999999999989,885.0,0.09199999999999964,0.077,5939.0,1.0,0.16236543
CoRoT-23 b,11.77,889.9,1660.0,0.04800000000000004,0.16,5900.0,1.0,0.076994975
CoRoT-24 b,3.7,5.699999999999989,1070.0,0.05600000000000005,0.0,4950.0,1.0,0.1996284
CoRoT-24 c,5.0,28.0,850.0,0.09799999999999986,0.0,4950.0,1.0,0.19307331
CoRoT-25 b,12.11,85.81,1330.0,0.057800000000000296,0.0,6040.0,1.0,0.075729936
CoRoT-26 b,14.119999999999997,165.26,1600.0,0.05259999999999998,0.0,5590.0,1.0,0.064843236
CoRoT-27 b,11.286999999999999,3302.11,1500.0,0.04760000000000009,0.065,5900.0,1.0,0.081364856
CoRoT-28 b,10.704595,153.82972,990.564,0.0602999999999998,0.047,5150.0,1.0,0.083066795
CoRoT-29 b,10.0881,270.1555,960.944,0.038599999999999746,0.082,5260.0,1.0,0.087739955
CoRoT-3 b,11.32,6883.91,1695.0,0.05783000000000005,0.0,6740.0,1.0,0.079061404
CoRoT-30 b,11.309881,921.707,1189.4,0.08439999999999959,0.007000000000000006,5650.0,1.0,0.089615713
CoRoT-31 b,16.36514,266.9772,1878.4,0.05860000000000021,0.020000000000000004,5700.0,1.0,0.05728074
CoRoT-35 b,18.83108758,349.6112477,1747.0,0.04290000000000038,0.0,6390.0,1.0,0.049928133
CoRoT-36 b,15.804662789999998,216.12331676,1567.0,0.06599999999999984,0.0,6730.0,1.0,0.058335794
CoRoT-4 b,13.34,228.83,1074.0,0.08999999999999986,0.0,6190.0,1.0,0.072753402
CoRoT-5 b,15.558,148.42,1438.0,0.04947000000000035,0.09,6100.0,1.0,0.060161229
CoRoT-6 b,13.068,940.74,1017.0,0.08549999999999969,0.1,6090.0,1.0,0.075649966
CoRoT-7 b,1.6813499999999997,4.076605180000001,1756.0,0.01701599999999992,0.0,5275.0,1.0,0.27120979
CoRoT-7 c,2.83,8.399999999999977,611.5999999999999,0.04600000000000026,0.0,5256.0,1.0,0.2215501
CoRoT-7 d,4.31,17.141999999999996,633.76,0.32411999999999974,0.0582,5250.0,1.0,0.18235569
CoRoT-8 b,6.39,69.92000000000002,870.0,0.06299999999999972,0.0,5080.0,1.0,0.13603342
CoRoT-9 b,11.948794,266.9772,420.0,0.4020999999999999,0.133,5625.0,2.0,0.28548484
DE CVn b,12.399999999999999,3823.27330161,1252.0,5.75,0.0,3579.0,2.0,0.072490456
DH Tau b,30.2643,3496.0,2200.0,330.0,0.128,4371.0,1.0,0.031463206
DMPP-1 b,4.26,16.80000000000001,877.0,0.14229999999999965,0.2,6196.0,1.0,0.15584064
DMPP-1 c,3.31,10.939999999999998,1239.0,0.09729999999999972,0.22,6196.0,1.0,0.21030814
DMPP-1 d,2.02,4.720000000000027,1632.0,0.04466999999999999,0.36,6196.0,1.0,0.27309959
DMPP-1 e,1.8600000000000003,4.1299999999999955,1314.0,0.06510000000000016,0.07,6196.0,1.0,0.26435102
