pl_name,Star's name,sy_snum,sy_pnum,discoverymethod,disc_year,pl_orb_period(in days),pl_orb_period(in E.years),pl_orb_semi_maj_axis(in AU),pl_orb_eccent,pl_rad(in Earth Radius),pl_bmass(in Earth Mass),pl_dens(in (Earth mass/Earth radius)),st_teff(in kelvin),st_rad(in solar radius),st_mass(in solar mass),sy_dist(in Parsec),pl_teff(in kelvin),st_lum(in Solar luminosity),pl_recei_flux(in Earth's received flux)
11 Com b,11 Com,2,1,Radial Velocity,2007.0,323.21,0.884391974,1.178,0.238,,4914.898486,,4874.0,13.76,2.09,93.1846,803.2182641,95.86692939,69.08412101
11 UMi b,11 UMi,1,1,Radial Velocity,2009.0,516.21997,1.13504936,1.53,0.08,,4684.8142,,4213.0,29.79,2.78,125.321,896.3806521,250.8399427,107.1553431
14 And b,14 And,1,1,Radial Velocity,2008.0,186.76,0.511378603,0.775,0.0,,1131.151301,,4888.0,11.55,1.78,75.4392,909.8772717,68.32483748,113.7562331
14 Her b,14 Her,1,2,Radial Velocity,2002.0,1765.0389,4.843273439,2.774,0.373,,2559.472162,,,,0.91,17.9323,0.0,0.0,0.0
16 Cyg B b,16 Cyg B,3,1,Radial Velocity,1996.0,798.5,2.058023144,1.66,0.68,,565.7374,,5750.0,1.13,1.08,21.1397,228.7517899,1.252328072,0.454466567
17 Sco b,17 Sco,1,1,Radial Velocity,2020.0,578.38,1.580782386,1.45,0.06,,1373.018718,,4157.0,25.92,1.22,124.953,847.4713021,180.0030825,85.61383235
18 Del b,18 Del,2,1,Radial Velocity,2008.0,982.85,2.688538829,2.476,0.024,,2926.246143,,4980.0,8.8,2.1,76.222,452.6961878,42.73390353,6.970618019
1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,1,Imaging,2008.0,,6502.216817,330.0,,,3000.0,,4060.0,,0.85,139.135,0.0,0.0,0.0
24 Boo b,24 Boo,1,1,Radial Velocity,2018.0,30.33,0.083388842,0.194,0.032,,280.6424834,,4816.0,12.19,1.05,95.9863,1840.767529,71.72047781,1905.634972
24 Sex b,24 Sex,1,2,Radial Velocity,2010.0,452.8,1.240180401,1.333,0.09,,632.46,,5098.0,4.9,1.54,72.0691,471.2965656,14.55061449,8.188814547
24 Sex c,24 Sex,1,2,Radial Velocity,2010.0,883.0,2.417322765,2.08,0.29,,273.32,,5098.0,4.9,1.54,72.0691,377.2920744,14.55061449,3.363215258
2M0437 b,2MASS J04372171+2651014,1,1,Imaging,2021.0,,3108.841282,118.0,,,1271.313628,,3100.0,0.84,0.17,128.484,12.61164716,0.058464898,4.19886e-06
2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,2,1,Imaging,2013.0,,1766.209143,84.0,,,4131.79,,,,0.19,,0.0,0.0,0.0
2MASS J01225093-2439505 b,2MASS J01225093-2439505,1,1,Imaging,2013.0,,592.8912211,52.0,,,7786.5,,3530.0,,0.4,33.8281,0.0,0.0,0.0
2MASS J02192210-3925225 b,2MASS J02192210-3925225,1,1,Imaging,2015.0,,5928.912211,156.0,,16.14096,4417.837,5.788595508,3064.0,0.281,0.108,,6.270340143,0.006243923,2.56571e-07
2MASS J0249-0557 c,2MASS J0249-0557 A,2,1,Imaging,2018.0,,401488.3993,1950.0,,,3686.809521,,,,0.046,66.0613,0.0,0.0,0.0
2MASS J03590986+2009361 b,2MASS J03590986+2009361,1,1,Imaging,2024.0,,0.0,572.0,,,5720.911326,,,,,117.435,0.0,0.0,0.0
2MASS J04414489+2301513 b,2MASS J04414489+2301513,1,1,Imaging,2010.0,,421.4636152,15.0,,,2383.6,,,,0.019,,0.0,0.0,0.0
2MASS J11011926-7732383 b,2MASS J11011926-7732383,1,1,Imaging,2024.0,,0.0,266.0,,,8899.195396,,,,,,0.0,0.0,0.0
2MASS J11550485-7919108 b,2MASS J11550485-7919108,1,1,Imaging,2024.0,,0.0,587.0,,,6356.56814,,,,,100.862,0.0,0.0,0.0
2MASS J12073346-3932539 b,2MASS J12073346-3932539,1,1,Imaging,2004.0,,2632.924546,55.0,,,1589.15,,,,0.024,64.308,0.0,0.0,0.0
2MASS J19383260+4603591 b,2MASS J19383260+4603591,2,3,Eclipse Timing Variations,2015.0,406.0,0.0,,0.33,,591.160837,,29564.0,0.203,0.48,396.332,,28.24455263,
2MASS J21252752-8138278 b,2MASS J21252752-8138278,1,1,Imaging,2024.0,,0.0,7493.0,,,3813.940884,,,,,34.1154,0.0,0.0,0.0
2MASS J22362452+4751425 b,2MASS J22362452+4751425,1,1,Imaging,2016.0,,4503.147048,230.0,,,3972.875,,4045.0,,0.6,69.5737,0.0,0.0,0.0
2MASS J22501512+2325342 b,2MASS J22501512+2325342,1,1,Imaging,2018.0,,0.0,518.0,,,9534.85221,,,,,57.2309,0.0,0.0,0.0
