pl_name,star_name,sy_snum,sy_pnum,discoverymethod,disc_year,pl_orb_period(in days),pl_orb_period(in E.years),pl_orb_semi_maj_axis(in AU),pl_orb_eccent,pl_rad(in Earth Radius),pl_bmass(in Earth Mass),pl_dens(in (Earth mass/Earth radius)),st_teff(in kelvin),st_rad(in solar radius),st_mass(in solar mass),sy_dist(in Parsec),pl_teff(in kelvin),st_lum(in Solar luminosity),pl_recei_flux(in Earth received flux),sy_plx
11 Com b,11 Com,2,1,Radial Velocity,2007,323.21,0.884900753,1.178,0.238,3215.668419,4914.898486,8.14E-07,4874,13.76,2.09,93.1846,803.2182641,95.86692939,69.08412101,10.7104
11 Com b,11 Com,2,1,Radial Velocity,2007,323.21,0.884900753,1.178,0.238,3215.668419,4914.898486,8.14E-07,4874,13.76,2.09,93.1846,803.2182641,95.86692939,69.08412101,10.7104
11 Com b,11 Com,2,1,Radial Velocity,2007,323.21,0.884900753,1.178,0.238,3215.668419,4914.898486,8.14E-07,4874,13.76,2.09,93.1846,803.2182641,95.86692939,69.08412101,10.7104
11 UMi b,11 UMi,1,1,Radial Velocity,2009,516.21997,1.413333251,1.53,0.08,3054.089914,4684.8142,9.06E-07,4213,29.79,2.78,125.321,896.3806521,250.8399427,107.1553431,7.95388
11 UMi b,11 UMi,1,1,Radial Velocity,2009,516.21997,1.413333251,1.53,0.08,3054.089914,4684.8142,9.06E-07,4213,29.79,2.78,125.321,896.3806521,250.8399427,107.1553431,7.95388
11 UMi b,11 UMi,1,1,Radial Velocity,2009,516.21997,1.413333251,1.53,0.08,3054.089914,4684.8142,9.06E-07,4213,29.79,2.78,125.321,896.3806521,250.8399427,107.1553431,7.95388
14 And b,14 And,1,1,Radial Velocity,2008,186.76,0.511321013,0.775,0,662.6075268,1131.151301,2.14E-05,4888,11.55,1.78,75.4392,909.8772717,68.32483748,113.7562331,13.2289
14 And b,14 And,1,1,Radial Velocity,2008,186.76,0.511321013,0.775,0,662.6075268,1131.151301,2.14E-05,4888,11.55,1.78,75.4392,909.8772717,68.32483748,113.7562331,13.2289
14 And b,14 And,1,1,Radial Velocity,2008,186.76,0.511321013,0.775,0,662.6075268,1131.151301,2.14E-05,4888,11.55,1.78,75.4392,909.8772717,68.32483748,113.7562331,13.2289
16 Cyg B b,16 Cyg B,3,1,Radial Velocity,1996,798.5,2.186173854,1.66,0.68,314.5587218,565.7374,0.000100152,5750,1.13,1.08,21.1397,228.7517899,1.252328072,0.454466567,47.2754
